Namespace(cpu=False, exp_name='loop', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-ab8ymzk3
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=194.61444091796875, F_max=1.3742055892944336
C_max=180.3210906982422, F_max=1.363237738609314
C_max=162.8304443359375, F_max=1.3501917123794556
C_max=155.9580078125, F_max=1.3545210361480713
C_max=182.493896484375, F_max=1.366461157798767
C_max=214.49749755859375, F_max=1.3762363195419312
C_max=259.52734375, F_max=1.383984088897705
C_max=295.74554443359375, F_max=1.388981819152832
C_max=297.280517578125, F_max=1.3896028995513916
C_max=264.900634765625, F_max=1.3847143650054932
C_max=260.5518493652344, F_max=1.3749427795410156
C_max=250.8121337890625, F_max=1.3633856773376465
C_max=246.47393798828125, F_max=1.3537876605987549
C_max=237.4398193359375, F_max=1.3479347229003906
C_max=246.731201171875, F_max=1.3783155679702759
C_max=322.14306640625, F_max=1.409473180770874
C_max=389.009765625, F_max=1.4275115728378296
C_max=418.679931640625, F_max=1.4251033067703247
C_max=403.28076171875, F_max=1.4040608406066895
C_max=359.201171875, F_max=1.372748613357544
C_max=328.3609313964844, F_max=1.363088846206665
C_max=338.61328125, F_max=1.3714250326156616
C_max=340.406494140625, F_max=1.3778748512268066
C_max=332.46484375, F_max=1.3802270889282227
C_max=357.7958984375, F_max=1.3774715662002563
C_max=356.36865234375, F_max=1.369598627090454
C_max=323.7275390625, F_max=1.3572601079940796
C_max=294.3486328125, F_max=1.3419147729873657
C_max=279.353515625, F_max=1.3259634971618652
iter [4/500]: lr=3e-02, loss=8.4912, E=1047.31, E_gt=1351.12; nu=0.2293, nu_gt=0.0840; C_dist=1802.67; F_dist=0.01
